PROD,"('2012-08-30', 'AVGPRICE')","('2012-10-10', 'AVGPRICE')","('2012-11-01', 'AVGPRICE')","('2012-11-30', 'AVGPRICE')","('2013-01-01', 'AVGPRICE')","('2013-02-01', 'AVGPRICE')","('2013-03-01', 'AVGPRICE')","('2013-04-01', 'AVGPRICE')","('2013-05-01', 'AVGPRICE')","('2013-06-01', 'AVGPRICE')","('2013-07-01', 'AVGPRICE')","('2013-08-01', 'AVGPRICE')"
P231114,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,,
P231415,12.5,,,,,,,,,,,
P231422,5.0,,,,,,,,,,,
P231441,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,
P231607,12.5,,,,,,,,,,,
P231616,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P231804,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P232218,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P232318,16.0,16.0,16.0,16.0,16.0,16.0,,,,16.0,,
P233917,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,6.0,,
P233921,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
P234100,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,
P234209,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
P234211,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0
P234322,,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P234323,,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
P234922,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P235502,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
P235522,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,
P236803,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P236904,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
P237119,,,,,,,,19.0,19.0,19.0,19.0,19.0
P237120,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,11.0,13.0,11.0,11.0
P237205,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5
P237206,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5
P237301,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
P238412,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P239504,,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P239509,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,18.0,18.0,
P239510,18.0,18.0,18.0,18.0,18.0,18.0,,18.0,18.0,18.0,18.0,18.0
P241010,15.0,15.0,,,,,,,,,,
P241313,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,11.0,,
P241318,,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P241716,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,18.0
P241720,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,17.0,17.0,17.0,17.0
P241721,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,14.0,14.0,14.0,14.0
P241722,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,14.0,14.0,14.0,14.0
P241723,14.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,15.0,15.0,15.0,15.0
P241801,12.0,12.0,12.0,12.0,12.0,,4.0,4.0,12.0,12.0,12.0,12.0
P242108,12.0,12.0,,,12.0,,,,,12.0,,
P242120,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P242137,15.0,,,,,,,,,,,
P242138,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,
P242139,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P242140,17.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P242142,15.0,,,,,,,,,,,
P242143,17.0,,,,,,,,,,,
P242145,15.5,15.5,15.5,15.5,15.5,16.0,,,16.0,16.0,16.0,16.0
P242146,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
P242149,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P242151,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P242810,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5
P243309,,,,,12.0,12.0,12.0,12.0,,12.0,12.0,12.0
P243600,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P243800,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
P243801,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P243804,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P244434,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
P244437,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
P244700,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
P244716,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,
P244901,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,,,,
P245009,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,
P245205,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P245246,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,
P245413,16.0,16.0,16.0,16.0,,,,,,,,
P245426,18.0,,,,,,,,,,,
P245427,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,
P245613,6.5,6.5,6.5,6.5,,,,,,,,
P246925,,,,,,,,,,,8.0,8.0
P248404,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,
P248525,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P248526,16.0,16.0,,,,,,,,,,
P249814,12.0,8.5,8.5,12.0,8.5,,8.5,8.5,8.5,8.5,8.5,8.5
P250704,12.0,12.0,12.0,12.0,,,,,,,,
P253713,10.0,10.0,10.0,10.0,,,,,,,,
P254307,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P254649,9.0,9.0,9.0,9.0,9.0,,,9.0,,9.0,,
P254650,10.0,10.0,10.0,10.0,10.0,,,,10.0,,,
P254713,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P254902,15.0,15.0,15.0,,,,,,,,,
P254904,16.0,16.0,16.0,16.0,,,,,,,,
P254906,19.0,,19.0,19.0,,,,,,,,
P254908,19.0,,,19.0,,,,,,,,
P254910,17.0,17.0,17.0,17.0,,,,,,,,
P254914,15.0,15.0,15.0,15.0,15.0,15.0,,,,10.0,15.0,
P256838,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P257006,,,,,,,,,,,18.0,
P257104,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,,,,
P257106,18.0,,18.0,,,,,,,,,
P257114,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,
P257119,15.0,15.0,,,15.0,,,,,,,
P257302,9.0,,,,,,,,,,,
P257306,5.0,,,,,,,,,,,
P257311,19.25,19.25,19.25,19.25,19.25,19.25,19.25,19.25,19.25,19.25,19.25,19.25
P257515,15.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,
P257524,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,
P257600,11.0,11.0,11.0,11.0,15.0,15.0,15.0,15.0,15.0,11.0,15.0,15.0
P257801,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P258254,,,,,,,,,14.75,,,
P258255,,,,,,,,,17.25,,,
P258618,12.0,12.0,12.0,12.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
P258619,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P258620,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P258625,,,,,17.5,17.5,17.5,17.5,18.5,18.5,,
P259615,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P259617,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P259802,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5
P259900,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5
P259902,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P259918,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,18.0,
P259919,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P259921,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
P259939,15.5,15.5,,,,,,,,,,
P259945,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P259949,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P260202,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P260206,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P260310,,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P260500,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
P260501,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P260509,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
P260521,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,12.0
P261001,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P261003,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P261006,,,,,,,,,,,,14.0
P261104,16.0,16.0,16.0,16.0,16.0,16.0,,,,,,
P261133,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,18.0,18.0
P261601,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,
P261602,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P261604,,,,,,,,,14.0,,,
P261605,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,
P261607,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,12.0,12.0,
P262038,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
P262040,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,
P262041,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
P262404,6.5,6.5,6.5,,,,,,,,,
P262502,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
P263315,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5
P263401,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P263713,,14.0,14.0,,,14.0,,14.0,,14.0,,
P263902,15.0,,,,,15.0,,,,,,
P264411,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,,,
P265415,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5
P265707,5.0,5.0,5.0,7.0,7.0,,,,7.0,5.0,7.0,
P265708,8.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,14.0
P265709,,,,,14.0,,,,,,,
P265712,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
P266114,18.0,18.0,,,,,,18.0,,,,
P266126,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
P266303,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
P266305,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,,
P266311,,,,,,,,,14.0,14.0,,
P266313,15.0,15.0,15.0,,,,,,,,,
P266500,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P266807,16.0,,,,,,,,,,,
P266811,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,14.0,14.0
P266812,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
P267208,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P267209,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P267305,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.5
P267313,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
P267400,12.0,12.0,12.0,12.0,12.0,,12.0,12.0,12.0,12.0,,
P267402,15.0,15.0,15.0,15.0,,,,,,,,
P267701,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P268010,,,,,,,,,17.0,,,
P268209,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P268604,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,,
P268702,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,,
P268703,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P268704,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
P268707,,,,,,,,,15.0,15.0,15.0,15.0
P269006,18.0,18.0,18.0,18.0,,,,,,,,
P269023,18.0,18.0,18.0,18.0,18.0,,,,,,,
P269400,8.5,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,
P269402,12.0,,,,,,,,,,,
P269404,12.0,,,,,,,,,,,
P269714,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P270572,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
P270707,,,,,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
P270916,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P271200,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0
P271703,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P271904,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5
P272655,13.0,,,,,,,,,,,
P272802,14.0,14.0,14.0,14.0,14.0,,,,,,,
P273305,12.0,12.0,,,12.0,12.0,12.0,12.0,,12.0,12.0,
P273403,16.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P273909,,,,,,,,,,,,19.5
P274211,9.0,,,,,,,,,,,
P274214,10.5,,,,,,,,,,,
P274602,8.0,,,,,,,,,,,
P274715,9.0,9.0,9.0,,,,,,,,,
P274927,,17.0,17.0,17.0,,17.0,,,,17.0,,
P275309,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P276318,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75
P276319,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75
P276320,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,
P276321,12.0,7.5,7.5,12.0,7.5,7.5,7.0,,12.0,7.5,12.0,12.0
P276322,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
P276323,10.0,10.0,10.0,10.0,10.0,,,,,,,
P276324,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P276326,15.0,15.0,15.0,,,,,,,,,
P276329,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P276331,,,,,,,,,,,16.5,16.5
P276332,,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P276333,8.0,4.5,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.5,8.0,8.0
P276338,,,,14.5,,,,,,,,
P276341,6.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,10.0
P276342,16.0,11.5,11.5,11.5,16.0,16.0,11.5,11.5,11.5,7.0,7.0,16.0
P276343,14.0,14.0,14.0,14.0,14.0,,,,,,,
P276344,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,7.0,7.0,7.0,16.0
P276909,16.0,,,,,,,,,16.0,,
P276910,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,9.0,,,
P276915,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P276919,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
P277217,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
P277300,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,
P277301,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,
P277402,10.0,10.0,10.0,10.0,,,,,,,,
P277700,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
P278012,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0
P278310,6.0,6.0,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5
P278311,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P278527,,,11.0,11.0,,,,,,,,
P278528,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P278530,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P278533,,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,
P278605,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P278807,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P279111,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P279112,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P279113,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P279440,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
P279508,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P279510,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
P279610,5.0,,,,,,,,,,,
P279614,14.0,14.0,14.0,14.0,,,,,,,,
P279624,11.5,16.0,16.0,,,,,,,,,
P279638,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P279639,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P279707,16.0,16.0,16.0,16.0,16.0,,,,,,,
P280404,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P280405,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,
P280409,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P280510,17.5,17.5,17.5,17.5,17.5,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P280513,19.5,19.5,19.5,19.5,19.5,,,,,,,
P280528,12.5,12.5,12.5,12.5,12.5,13.0,13.0,13.0,13.0,13.0,13.0,13.0
P280530,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
P280533,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
P280535,16.5,16.5,16.5,16.5,16.5,17.0,17.0,8.0,8.0,8.0,8.0,8.0
P280537,18.0,18.0,18.0,18.0,18.0,18.5,18.5,18.5,18.5,18.5,18.5,18.5
P280548,19.5,19.5,19.5,19.5,19.5,,,,,,,
P280550,19.0,19.0,19.0,19.0,19.0,,,,,,,
P280718,,,,,,,19.0,19.0,,,19.0,19.0
P280921,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,10.75,15.0,
P281216,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P281217,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
P281411,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P281412,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,
P281413,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,
P281804,5.0,,,,,,,,,,,
P281805,5.0,,,,,,,,,,,
P281809,14.0,,,,,,,,,,,
P281810,16.0,,,,,,,,,,,
P281818,18.0,,,,,,,,,,,
P281819,14.0,,,,,,,,,,,
P281820,12.0,,,,,,,,,,,
P282026,14.0,14.0,14.0,14.0,13.0,13.0,,,,,,
P282114,15.0,15.0,15.0,15.0,15.0,,,,,,,
P282122,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P282905,10.0,,,,,,,,,,,
P282906,10.0,10.0,10.0,10.0,,,,,,,,
P282907,10.0,,,,,,,,,,,
P282908,10.0,,,,,,,,,,,
P282909,10.0,,,,,,,,,,,
P282910,10.0,,,,,,,,,,,
P283317,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P283322,,,,,,,,,9.0,,,
P283355,16.5,16.5,16.5,16.5,16.5,16.5,16.5,,,,,
P283358,14.0,14.0,14.0,14.0,,,,,,,,
P283359,18.5,,,,,,,,,,,
P283515,15.0,,,,,,,,,,,
P283703,18.0,,,,,,,,,,,
P283704,10.5,,,,,,,,,,,
P283705,18.0,,,,,,,,,,,
P283706,18.0,,,,,,,,,,,
P283707,18.0,,,,,,,,,,,
P283708,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,,,,
P283907,19.0,19.0,19.0,19.0,19.0,19.0,,,,,,
P283908,18.0,18.0,18.0,18.0,18.0,,,,,,,
P283909,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P283920,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
P284006,18.0,18.0,18.0,18.0,,,,,,,,
P284104,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0
P284105,,,,,,,,,,,17.0,17.0
P284106,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.5
P284205,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P284302,,,,,,15.0,15.0,,,,,
P284305,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P284507,12.0,12.0,12.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
P284701,,19.0,19.0,19.0,19.0,19.5,19.5,19.5,19.5,19.5,19.5,19.5
P284705,,19.0,19.0,19.0,19.0,19.0,,,,,,
P284709,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P284716,,,,,,,,,16.0,16.0,16.0,16.0
P284722,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,,,,
P285126,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,
P285141,18.0,18.0,18.0,18.0,18.0,,,,,,,
P285142,18.0,18.0,18.0,18.0,18.0,,,,,,,
P285146,16.0,16.0,16.0,16.0,16.0,16.5,16.5,16.5,16.5,16.5,16.5,
P285310,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,,,17.0
